node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support,evidence_type_synthetic_simple
(Geyle et al. 2018)_EXCLUDE_NA_No claim_NA_NA,(Geyle et al. 2018),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Geyle et al. 2025)_INCLUDE_NA_Population not in support_yes_yes,(Geyle et al. 2025),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Goode et al. 2020)_INCLUDE_NA_Predation not in support_no_no,(Goode et al. 2020),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Hill et al. 2004)_EXCLUDE_Conference proceedings_Failure to access or locate online full citation_NA_NA,(Hill et al. 2004),EXCLUDE,Conference proceedings,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Karl & Best 1982)_INCLUDE_NA_Predation in support_no_no,(Karl & Best 1982),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Keedwell et al. 2002b)_EXCLUDE_NA_Does not test claim_NA_NA,(Keedwell et al. 2002b),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
(Middlemiss 1995)_INCLUDE_NA_Predation in support_no_no,(Middlemiss 1995),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Miskelly et al. 2020)_EXCLUDE_NA_Expert opinion_NA_NA,(Miskelly et al. 2020),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Miskelly et al. 2020)_INCLUDE_NA_Predation in support_no_no,(Miskelly et al. 2020),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Moorhouse & Powlesland 1991)_INCLUDE_NA_Predation in support_no_no,(Moorhouse & Powlesland 1991),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Pocknee 2024)_INCLUDE_NA_Population not in support_yes_yes,(Pocknee 2024),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Adams et al. 2019)_EXCLUDE_NA_No claim_NA_NA,(Adams et al. 2019),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Alho et al. 2022)_EXCLUDE_NA_No claim_NA_NA,(Alho et al. 2022),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Amarasekare 1994)_INCLUDE_NA_Predation not in support_no_no,(Amarasekare 1994),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Arthur et al. 2012)_INCLUDE_NA_Population not in support_yes_no,(Arthur et al. 2012),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Augusteyn et al. 2021)_EXCLUDE_NA_No claim_NA_NA,(Augusteyn et al. 2021),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Bretagnolle et al. 2025)_INCLUDE_NA_Predation in support_no_no,(Bretagnolle et al. 2025),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Baker & Beveridge 2001)_EXCLUDE_NA_No claim_NA_NA,(Baker & Beveridge 2001),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Balasubramanian et al. 2022)_EXCLUDE_NA_No claim_NA_NA,(Balasubramanian et al. 2022),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Bannister et al. 2021)_EXCLUDE_NA_No claim_NA_NA,(Bannister et al. 2021),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Bell 2017)_INCLUDE_NA_Predation in support_no_no,(Bell 2017),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Berris et al. 2020)_EXCLUDE_NA_No claim_NA_NA,(Berris et al. 2020),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Bird et al. 2024)_INCLUDE_NA_Population not in support_no_no,(Bird et al. 2024),INCLUDE,"",Population not in support,no,no,Population not in support without data,Population not in support without data,Population without data,No,Population not in support without data
(Bisbal 2008)_EXCLUDE_Peer-reviewed journal article_Failure to access or locate online full citation_NA_NA,(Bisbal 2008),EXCLUDE,Peer-reviewed journal article,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Blanvillain et al. 2002)_INCLUDE_NA_Population in support_yes_yes,(Blanvillain et al. 2002),INCLUDE,"",Population in support,yes,yes,Population in support with data of quality,Population in support with data of quality,Population with data,Yes,Population in support with data
(Blumstein et al. 2019)_EXCLUDE_NA_No claim_NA_NA,(Blumstein et al. 2019),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Bonnaud et al. 2015)_INCLUDE_NA_Predation in support_no_no,(Bonnaud et al. 2015),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Bretagnolle et al. 2021)_INCLUDE_NA_Predation in support_no_no,(Bretagnolle et al. 2021),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Cameron et al. 2005)_EXCLUDE_NA_No claim_NA_NA,(Cameron et al. 2005),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Carle et al. 2019)_EXCLUDE_NA_No claim_NA_NA,(Carle et al. 2019),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Carle et al. 2021)_EXCLUDE_NA_Does not test claim_NA_NA,(Carle et al. 2021),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
(Carle et al. 2024)_EXCLUDE_NA_No claim_NA_NA,(Carle et al. 2024),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Chalkowski et al. 2021)_EXCLUDE_NA_No claim_NA_NA,(Chalkowski et al. 2021),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Chapuis et al. 2001)_EXCLUDE_NA_No claim_NA_NA,(Chapuis et al. 2001),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Chen et al. 2024)_EXCLUDE_NA_No claim_NA_NA,(Chen et al. 2024),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Cleeland et al. 2020)_EXCLUDE_NA_No claim_NA_NA,(Cleeland et al. 2020),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Cortés & González-Solís 2018)_EXCLUDE_NA_No claim_NA_NA,(Cortés & González-Solís 2018),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Cowan et al. 2024)_INCLUDE_NA_Population not in support_no_no,(Cowan et al. 2024),INCLUDE,"",Population not in support,no,no,Population not in support without data,Population not in support without data,Population without data,No,Population not in support without data
(Crawford et al. 2003)_EXCLUDE_NA_No claim_NA_NA,(Crawford et al. 2003),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Cruz et al. 2013)_EXCLUDE_NA_No claim_NA_NA,(Cruz et al. 2013),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Cuthbert 2003)_EXCLUDE_NA_No claim_NA_NA,(Cuthbert 2003),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Danckwerts et al. 2016)_EXCLUDE_NA_No claim_NA_NA,(Danckwerts et al. 2016),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Dawson et al. 2018)_EXCLUDE_NA_No claim_NA_NA,(Dawson et al. 2018),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Deem et al. 2010)_EXCLUDE_NA_No claim_NA_NA,(Deem et al. 2010),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Delgado et al. 2024)_EXCLUDE_NA_No claim_NA_NA,(Delgado et al. 2024),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Dickman 1992)_EXCLUDE_NA_No claim_NA_NA,(Dickman 1992),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Dickman 1996a)_EXCLUDE_NA_No claim_NA_NA,(Dickman 1996a),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Dickman 2011)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Dickman 2011),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Dickman et al. 2001)_INCLUDE_NA_Population not in support_yes_no,(Dickman et al. 2001),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Dilley et al. 2016)_EXCLUDE_NA_No claim_NA_NA,(Dilley et al. 2016),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Dumont et al. 2010)_EXCLUDE_NA_Model no pop data_NA_NA,(Dumont et al. 2010),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Modelling without data,Excluded,Not relevant,Excluded
(Dunlop et al. 2021)_EXCLUDE_NA_No claim_NA_NA,(Dunlop et al. 2021),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Durette-Desset & Pesson 1987)_EXCLUDE_NA_Not in English or Spanish_NA_NA,(Durette-Desset & Pesson 1987),EXCLUDE,,Inaccessible,"",no,Inaccessible,Not in English or Spanish,Excluded,Not relevant,Excluded
(Eifler & Eifler 2025)_EXCLUDE_NA_Expert opinion_NA_NA,(Eifler & Eifler 2025),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Fancourt 2014)_EXCLUDE_NA_No claim_NA_NA,(Fancourt 2014),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Fancourt 2016)_EXCLUDE_NA_Expert opinion_NA_NA,(Fancourt 2016),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Farris et al. 2015a)_EXCLUDE_NA_Does not test claim_NA_NA,(Farris et al. 2015a),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
(Farris et al. 2017)_INCLUDE_NA_Population in support_yes_no,(Farris et al. 2017),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Felis et al. 2019)_EXCLUDE_NA_No claim_NA_NA,(Felis et al. 2019),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Fernandes et al. 2023)_EXCLUDE_NA_No claim_NA_NA,(Fernandes et al. 2023),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Fleming & Frahm 1997)_EXCLUDE_NA_No claim_NA_NA,(Fleming & Frahm 1997),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Herrera M. et al. 2019)_INCLUDE_NA_Population not in support_yes_yes,(Herrera M. et al. 2019),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Fokidis et al. 2009)_EXCLUDE_NA_No claim_NA_NA,(Fokidis et al. 2009),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(French et al. 2020)_EXCLUDE_NA_No claim_NA_NA,(French et al. 2020),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Friend et al. 2020)_EXCLUDE_NA_No claim_NA_NA,(Friend et al. 2020),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Fujihara & Inoue-Murayama 2024)_EXCLUDE_NA_No claim_NA_NA,(Fujihara & Inoue-Murayama 2024),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Funk 1996)_EXCLUDE_NA_No claim_NA_NA,(Funk 1996),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Gaschk & Clemente 2022)_EXCLUDE_NA_No claim_NA_NA,(Gaschk & Clemente 2022),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Gérard et al. 2016)_EXCLUDE_NA_Does not test claim_NA_NA,(Gérard et al. 2016),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
(Ghestemme et al. 2019)_EXCLUDE_NA_Does not test claim_NA_NA,(Ghestemme et al. 2019),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
(Gillies et al. 2003)_EXCLUDE_NA_Expert opinion_NA_NA,(Gillies et al. 2003),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Gilmour et al. 2022)_EXCLUDE_NA_No claim_NA_NA,(Gilmour et al. 2022),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Gineste et al. 2017)_EXCLUDE_NA_No claim_NA_NA,(Gineste et al. 2017),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Goldingay 2024)_EXCLUDE_NA_No claim_NA_NA,(Goldingay 2024),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(González-Solís et al. 2024)_INCLUDE_NA_Predation in support_no_no,(González-Solís et al. 2024),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
