original,Endnote_intext_citation
"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",(Gordon et al. 2015)
"Gouni, A., Kesler, D.C., Sarsfield, R., Tehei, T., Gouni, J., Butaud, J., Blanc, L., Durieux, J., Marie, J. and Lichtlé, A. 2006. Société d'Ornithologie de Polynésie Manu, Taravao, French Polynesia.",(Gouni et al. 2006)
"Grace, S., 2012. Roosting Brown Pelicans at San Nicolas Island, California, 1972–2006. Waterbirds.",(Capitolo et al. 2012)
"Grat, A.D., Powlesland, R.G., Dilks, P.J., Flux, I.A. and Tisdall, C.J., 1997. Mortality, distribution, numbers and conservation of the Chatham Island pigeon (Hemiphaga novaeseelandiae chathamensis). Notornis, 44, pp.65-78.",(Grant et al. 1997)
"Green, A. J. 1992. Wildfowl at risk: 1992. Wildfowl 43: 160-184.",(Green 1992)
"Greenway, J. C., Jr. 1967. Extinct and vanishing birds of the world. Second revised edition. New York: Dover Publications, Inc.",(Greenway 1967)
"Greenwell, C.N., Calver, M.C. and Loneragan, N.R., 2019. Cat gets its tern: A case study of predation on a threatened coastal seabird. Animals, 9(7), p.445.",(Greenwell et al. 2019)
"Griesemer, A. M. Holmes, N. D. 2011. Newell’s shearwater population modeling for Habitat Conservation Plan and Recovery Planning. Technical Report 176. The Hawai`i-Pacific Islands Cooperative Ecosystem Studies Unit & Pacific Cooperative Studies Unit, University of Hawai`i, Honolulu, Hawai`i.",(Griesemer & Holmes 2011)
"Groombridge, J.J., M.A. Nicoll, C.G. Jones, and J. Watson. 2004. Associations of evolutionary & ecological distinctiveness amongst Indian Ocean kestrels. In: R.D. Chancellor and B.-U. Meyburg (eds), Raptors worldwide, pp. 679-692. World Working Group on Birds of Prey, Berlin and MME/BirdLife Hungary, Budapest.",(Groombridge et al. 2004)
"Guicking, D., Leuther, C., Ristow, D. 1999. Pink-footed Shearwaters on Isla Mocha, Chile. World Birdwatch 21: 20-23.",(Guicking 1999)
"Gunby, E., 2024. Factors Affecting Shorebird Nest Success and Behaviour at the Ashley-Rakahuri Saltwater Creek River Estuary. MSc thesis, University of Canterbury",(Gunby 2024)
"Gunby, ERG, Kross, SM and Briskie, JV (2025) Factors affecting shorebird hatching outcomes at the Ashley River/ Rakahuri-Saltwater Creek estuary, New Zealand. Notornis 72 (3) , pp.151-159",(Gunby et al. 2025)
"Guo, T.V., Mosah, S., McCullough, J.M., DeRaad, D.A., DeCicco, L.H., Tigulu, I.G., Famoo, R., Hobete, J., Runi, L., Rusa, G., Tippet, A. 2020. Detailed description of the nest, eggs, and juvenile plumage of the Solomons Nightjar (Eurostopodus nigripennis). The Wilson Journal of Ornithology 132(4): 1028-1034.",(Guo et al. 2020)
"Gustafson, G. G. Parsons, M. Ryan, K. Bridges, A. Garcelon, D. 2020. Measuring Density and Activity of Feral Cats Using Camera Traps on San Clemente Island, CA. Proceedings of the Vertebrate Pest Conference 29(29).",(Gustafson 2020)
H. Baker and P. Baker in litt. 1999,H. Baker and P. Baker in litt. 1999
H. C. Baker and P. E. Baker in litt. 1999,H. C. Baker and P. E. Baker in litt. 1999
"H. R. Carter et al., Status and conservation of the Japanese murrelet (Synthliboramphus wumizusume) in the Izu Islands, Japan. Journal of the Yamashina Institute for Ornithology. 33, 61–87 (2002).",(Hasegawa et al. 2002)
"H. Ratz, B. Murphy, Effects of habitat and introduced mammalian predators on the breeding success of yellow-eyed penguins Megadyptes antipodes, South Island, New Zealand. Pacific Conservation Biology. 5, 16–27 (1999).",(Ratz & Murphy 1999)
H. Weimerskirch in litt. 2008,H. Weimerskirch in litt. 2008
"Ha, J.C., Butler, A. and Ha, R.R., 2010. Reduction of first-year survival threatens the viability of the Mariana Crow Corvus kubaryi population on Rota, CNMI. Bird Conservation International, 20(4), pp.335-342.",(Ha et al. 2010)
"Hahn, I. Römer, U. 2002. Threatened avifauna of the Juan Fernández archipelago, Chile: the impact of introduced mammals and conservation priorities. Cotinga 17: 66-72.",(Hahn & Römer 2002)
"Hahn, I., Roemer, U. and Vergara, P.M., 2010. Conserving Chile's most critically endangered bird species: first data on foraging, feeding, and food items of the Masafuera Rayadito (Aves: Furnariidae). Vertebrate zoology, 60, pp.233-242.",(Hahn et al. 2010)
"Hahn, I., Römer, U. 2002. Threatened avifauna of the Juan Fernández archipelago, Chile: the impact of introduced mammals and conservation priorities. Cotinga 17: 66-72.",(Hahn & Römer 2002)
"Hahn, I., Römer, U. and Schlatter, R., 2004. Nest sites and breeding ecology of the Másafuera Rayadito (Aphrastura masafuerae) on Alejandro Selkirk Island, Chile. Journal of Ornithology, 145(2), pp.93-97.",(Hahn et al. 2004)
"Haines, R.W., 1946. A revision of the movements of the forearm in tetrapods. Journal of Anatomy, 80(Pt 1), p.1.",(Haines 1946)
"Hammond, R.L, Crampton, L. H., and Foster, J. T. 2016. Nesting success of native and introduced forest birds on the island of Kauai. Journal of Avian Biology 47: 252-262.",(Hammond et al. 2016)
"Hanisch 1998 The effect of human disturbance on the reproductive performance of the Hooded Plover, Thinornis rubricollis, in the south-east of Tasmania. Honours thesis. University of Tasmania, Hobart.",(Hanisch 1998)
"Hanna, G. D. 1925. Expedition to Guadalupe Island, Mexico, in 1922: General report. Proceedings of the California Academy of Sciences (Fourth Series) 14: 217-275. https://www.biodiversitylibrary.org/part/13069",(Hanna 1925)
"Hanson, C.C., Jolley, W.J., Smith, G., Garcelon, D.K., Keitt, B.S., Little, A.E. and Campbell, K.J., 2015. Feral cat eradication in the presence of endemic San Nicolas Island foxes. Biological Invasions, 17, pp.977-986.",(Hanson et al. 2015)
"Hardman, B., Moro, D. and Calver, M., 2016. Direct evidence implicates feral cat predation as the primary cause of failure of a mammal reintroduction programme. Ecological Management & Restoration, 17(2), pp.152-158.",(Hardman et al. 2016)
"Harlow, P. S., & Biciloa, P. N. (2001). Abundance of the Fijian crested iguana (Brachylophus vitiensis) on two islands. Biological Conservation, 98(2), 223-231.",(Harlow & Biciloa 2001)
"Harper, G.A. 2005. Numerical and functional response of feral cats (Felis catus) to variations in abundance of primary prey on Stewart Island (Rakiura), New Zealand. Wildlife Research 32: 597–604.",(Harper 2005)
"Harrington, G., McKeown, A., Venables, B. 2017. The range and habitat of the Kalkadoon Grasswren Amytornis ballarae. Australian Field Ornithology 34: 12-17.",(Harrington et al. 2017)
"Harris, M. P. 1973. The Galápagos avifauna. Condor 75: 265-278.",(Harris 1973)
"Harrison, N.D., Phillips, B.L., Mitchell, N.J., Macmahon, B., Rasmussen, D., Lacey, P., Fanson, K. and Wayne, A.F., 2025. Dancing with the devil: Could native predators inside ‘predator‐free’havens be good for the conservation of threatened native prey species?. Journal of Applied Ecology.",(Harrison et al. 2025)
"Harrison, N.D., Phillips, B.L., Mitchell, N.J., Wayne, J.C., Maxwell, M.A., Ward, C.G. and Wayne, A.F., 2023. Perverse outcomes from fencing fauna: Loss of antipredator traits in a havened mammal population. Biological Conservation, 281, p.110000.",(Harrison et al. 2023)
"Hartley, SL and Kikkawa, J 1994, The population management of the Eastern Bristlebird (Dasyornis brachypterus). Department of Environment and Heritage, Queensland Parks and Wildlife Service, Brisbane.",(Hartley & Kikkawa 1994)
"Hawlitschek, O., Brückmann, B., Berger, J., Green, K. and Glaw, F. 2011. Integrating field surveys and remote sensing data to study distribution, habitat use and conservation status of the herpetofauna of the Comoro Islands. Zookeys. (144), p.21.",(Hawlitschek et al. 2011)
"Hayes FN, Williams M 1982. The status, aviculture and re-establishment of brown teal in New Zealand. Wildfowl 33: 73–80.",(Hayes & Williams 1982)
"Hayes, N. 2006. Brown Teal released at Port Charles, New Zealand. TWSG News: 16-18.",(Hayes 2006)
"Hayward, M. W., de Tores, P. J., Augee, M. L., Fox, B. J., and Banks, P. B. (2004). Home range and movements of the quokka Setonix brachyurus (Macropodidae: Marsupialia), and its impact on the viability of the metapopulation on the Australian mainland. Journal of Zoology 263, 219–228. doi:10.1017/S0952836904005060",(Hayward et al. 2004)
"Hayward, M. W., de Tores, P. J., Dillon, M. J., and Fox, B. J. (2003). Local population structure of a naturally occurring metapopulation of the quokka (Setonix brachyurus Macropodidae: Marsupialia). Biological Conservation 110, 343–355. doi:10.1016/S0006-3207(02)00240-9",(Hayward et al. 2003)
"Hayward, M.W., L'Hotellier, F., O'Connor, T., Ward-Fear, G., Cathcart, J., Cathcart, T., Sephens, J., Stephens, J., Herman, K. and Legge, S., 2012, January. Reintroduction of bridled nailtail wallabies beyond fences at Scotia Sanctuary-Phase 1. In Proceedings of the Linnean Society of New South Wales (Vol. 134).",(Hayward et al. 2012)
"Hayward, M.W., Poh, A.S.L., Cathcart, J., Churcher, C., Bentley, J., Herman, K., Kemp, L., Riessen, N., Scully, P., Diong, C.H. and Legge, S., 2015. Numbat nirvana: conservation ecology of the endangered numbat (Myrmecobius fasciatus)(Marsupialia: Myrmecobiidae) reintroduced to Scotia and Yookamurra Sanctuaries, Australia. Australian Journal of Zoology, 63(4), pp.258-269.",(Hayward et al. 2015)
"Hayward, M.W., de Tores, P.J., Augee, M.L. and Banks, P.B., 2005. Mortality and survivorship of the quokka (Setonix brachyurus)(Macropodidae: Marsupialia) in the northern jarrah forest of Western Australia. Wildlife Research, 32(8), pp.715-722.",(Hayward et al. 2005)
"Hearn, C.M., Shaw, G., Short, R.V. and Renfree, M.B., 1998. Effects of cabergoline on reproduction in three families of Australian marsupials. Reproduction, 113(1), pp.151-157.",(Hearn et al. 1998)
"Heather, B. D. and Robertson, H. A. 1997. The Field Guide to the Birds of New Zealand. Oxford University Press, Oxford, UK.",(Heather & Robertson 1997)
"Hedges, S.B. and Conn, C.E., 2012. A new skink fauna from Caribbean islands (Squamata, Mabuyidae, Mabuyinae). Zootaxa, 3288(1), pp.1-244.",(Hedges & Conn 2012)
"Heiniger, J., Cameron, S.F. and Gillespie, G., 2018. Evaluation of risks for two native mammal species from feral cat baiting in monsoonal tropical northern Australia. Wildlife Research, 45(6), pp.518-527.",(Heiniger et al. 2018)
"Heiniger, J., Davies, H.F. and Gillespie, G.R., 2020. Status of mammals on Groote Eylandt: safe haven or slow burn?. Austral Ecology, 45(6), pp.759-772.",(Heiniger et al. 2020)
"Heinze D, Broome L and Mansergh I (2004). A review of the ecology and conservation of the mountain pygmy-possum Burramys parvus. In: The Biology of Australian Possums and Gliders (ed. R. L. Goldingay and S. M. Jackson) pp 254-267. Surrey Beatty & Sons, Chipping Norton.",(Heinze et al. 2004)
"Helmstedt, K.J., Possingham, H.P., Brennan, K.E., Rhodes, J.R. and Bode, M., 2014. Cost‐efficient fenced reserves for conservation: single large or two small?. Ecological Applications, 24(7), pp.1780-1792.",(Helmstedt et al. 2014)
"Hernandez‐Divers, S.J., Lafortune, M., Martínez‐Silvestre, A. and Pether, J., 2003. Assessment and conservation of the giant gomeran lizard (Gaiotia bravoana). Veterinary record, 152(13), pp.395-399.",(Hernandez-Divers et al. 2003)
"Hernández, E., Nogales, M. and Martín, A., 2000. Discovery of a new lizard in the Canary Islands, with a multivariate analysis of Gallotia (Reptilia: Lacertidae). Herpetologica, pp.63-76.",(Efraín et al. 2000)
"Hernández, M. A., Martín, A., Nogales, M. 1999. Breeding success and predation on artificial nests of the endemic pigeons Bolle's Laurel Pigeon Columba bollii and White-tailed Laurel Pigeon Columba junoniae in the laurel forest of Tenerife (Canary Islands). Ibis 141: 52-59.",(Hernández et al. 1999)
"Hernández, M.Á. 2004. Paloma Rabiche Columba junoniae. In: Madroño, A., González, C., Atienza, J.C. (ed.), Libro Rojo de las Aves de España, Dirección General para la Biodiversidad & SEO/BirdLife, Madrid.",(Hernández 2005)
Hess,(Hess 2014)
"Hess, S. C., P. C. Banko, D. M. Goltz, R. M. Danner, and K. W. Brinck. 2004. Strategies for reducing feral cat threats to endangered Hawaiian birds. Pp. 21–26 in R. M. Timm and W. P. Gorenzel (editors). Proceedings of the 21st Vertebrate Pest Conference. University of California, Davis, CA.",(Hess et al. 2004)
"Hetherington, C.A., Algar, D., Mills, H. and Bencini, R., 2007. Increasing the target-specificity of ERADICAT® for feral cat (Felis catus) control by encapsulating a toxicant. Wildlife Research, 34(6), pp.467-471.",(Hetherington et al. 2007)
"Higgins, P. J. 1999. Handbook of Australian, New Zealand and Antarctic birds: Parrots to Dollarbirds. Oxford University Press, Oxford, U.K.",(Higgins 1999)
"Higgins, P.J. and Davies, S.J., 1996. Handbook of Australian, New Zealand & Antarctic birds. Vol. 3, Snipe to pigeons. Oxford University Press.",(Higgins & Davies 1996)
"Hill, B., Moseby, K. & Cunningham, L. 2004. A trial release of the greater bilby Macrotis lagotis to an area outside the Arid Recovery Reserve in South Australia. Ecological Society of Australia Conference, Adelaide, December 2004.",(Hill et al. 2004)
Hines pers. comm. 2017,Hines pers. comm. 2017
"Hocking, G.J. and Guiler, E.R., 1983. The mammals of the lower Gordon River region south-west Tasmania. Wildlife Research, 10(1), pp.1-23.",(Hocking & Guiler 1983)
Hodum in litt. 2007,Hodum in litt. 2007
Hodum in litt. 2008,Hodum in litt. 2008
"Hodum, P. 2009. Evaluación del estado de conservación de la fardela blanca de Juan Fernández (Pterodroma externa) y la fardela blanca de Másafuera (Pterodroma longirostris). Technical report for the Corporación Nacional Forestal (CONAF).",(Hodum 2009)
"Hodum, P.; Wainstein, M. 2003. Biology and conservation of the Juan Fernández seabirds community. Technical report prepared for CONAF. 27 pp.",(Hodum & Wainstein 2003)
"Hodum, P.; Wainstein, M. 2004. Biology and conservation of the Juan Fernández Archipelago Seabird Community. CONAF.",(Hodum & Wainstein 2003)
"Holdaway, R.N. 1996. Stephens Island – a chance lost. New Zealand geographic 32: 79-80.",(Holdaway 1996)
"Hollings, T., Jones, M., Mooney, N. and Mccallum, H., 2014. Trophic cascades following the disease‐induced decline of an apex predator, the Tasmanian devil. Conservation Biology, 28(1), pp.63-75.",(Hollings et al. 2014)
"Hollis, G.J. 2011. National Recovery Plan for the Baw Baw Frog Philoria frosti. Victorian Government Department of Sustainability and Environment, Melbourne.",(Hollis 2011)
"Holzapfel, S., Robertson, H.A., McLennan, J.A., Sporle, W., Hackwell, K. and Impey, M., 2008. Kiwi (Apteryx spp.) recovery plan. Threatened species recovery plan, 60.",(Holzapfel et al. 2008)
"Holzapfel, S., Robertson, H.A., McLennan, J.A., Sporle, W., Hackwell, K., Impey, M. 2008 .Kiwi (Apteryx spp.) recovery plan: 2008–2018. Department of Conservation, Wellington.",(Holzapfel et al. 2008)
"Honsterette, E. and Probst, J.M. 1999. Redécouverte d’un reptile considéré comme disparu depuis plus de 130 ans à La Réunion, le Scinque de Bouton Cryptoblepharus boutonii. Bulletin Phaethon 9: 1-3.",(Honsterette & Probst 1999)
"Horsup, A. and Evans, M., 1993. Predation by feral cats, Felis catus, on an endangered marsupial, the bridled nailtail wallaby, Onychogalea fraenata. Australian Mammalogy, 16(1), pp.83-84.",(Horsup & Evans 1993)
"Hoshide, H.M., Price, J. & Katahira, L. 1990. A progress report on Nene Branta sandvicensis in Hawaii Volcanoes National Park from 1974-89. Wildfowl 41:152-155.",(Hoshide et al. 1990)
"Howell, A. B. 1917. Birds of the islands off the coast of southern California. Pacific Coast Avifauna 12.",(Howell 1917)
"Howell, A. B., 1912. Notes from Todos Santos Islands. Condor 14: 187-191.",(Howell 1912)
"Hu D, Glidden C, Lippert JS, Schnell L, MacIvor JS, Meisler J (2001) Habitat use and limiting factors in a population of Hawaiian Dark-rumped petrels on Mauna Loa, Hawai´i. Studies in Avian Biology, 22, 234-242.",(Hu et al. 2001)
